Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Contido,Quantidade Produção - Minério ROM (t),Quantidade Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,GO,Não-Metálicos,Talco e outras Cargas Minerais,-,"25707,220000",",000000000000000",,"25707,220000000001","66024,369999999995",",000000",",000000",",000000",",000000"
2010.0,MA,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"1947367,900000",",000000000000000",,"287638,41000000003","742134,19999999995",",000000",",000000",",000000",",000000"
2010.0,MA,Não-Metálicos,Areia,-,"1200402,250000",",000000000000000",,"1188853,8299999998","14113812,08",",000000",",000000",",000000",",000000"
2010.0,MA,Não-Metálicos,Saibro,-,"3750,000000",",000000000000000",,3750,2250,",000000",",000000",",000000",",000000"
2010.0,MA,Metálicos,Ferro,t,"113118,440000","55428,030000000000000",Fe,"113118,44","5737164,0499999998",",000000",",000000",",000000",",000000"
2010.0,MA,Não-Metálicos,Calcário,-,"779055,320000",",000000000000000",,111390,"2735719,4899999998",",000000",",000000",",000000",",000000"
2010.0,MA,Não-Metálicos,Gipsita,-,"195556,440000",",000000000000000",,"187853,44","2428769,1499999999",",000000",",000000",",000000",",000000"
2010.0,MA,Metálicos,Ouro,kg,"1453761,790000","1651,135300000000000",Au,0,0,",000000",",000000",",000000",",000000"
2010.0,MA,Não-Metálicos,Argilas,-,"583588,200000",",000000000000000",,"61892,660000000003","274707,96000000002","121285,490000","795921,880000","373786,630000","1938760,690000"
2010.0,MA,Energéticos,Turfa,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MA,Não-Metálicos,Caulim,-,"109109,000000",",000000000000000",,109109,"937114,56000000006",",000000",",000000",",000000",",000000"
2010.0,MG,Energéticos,Turfa,-,"330,000000",",000000000000000",,330,10900,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Cobre,t,"382969,290000","539,000000000000000",Cu,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Alumínio (Bauxita),t,"6501042,320000","2361847,900000000000000",Al2O3,"1103053,6899999999","18365153,039999999",",000000",",000000","671518,000000","12586263,010000"
2010.0,MG,Não-Metálicos,Argilas,-,"2373131,190000",",000000000000000",,"398578,76000000007","5906095,5600000005","152865,720000","845273,470000","789779,530000","8361984,900000"
2010.0,MG,Metálicos,Ferro,t,"359154146,180000","199603957,650000000000000",Fe,"17749753,359999999","601190647,28000009",",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Saibro,-,"123504,830000",",000000000000000",,"122904,83","304291,65000000002",",000000",",000000","600,000000","3158,820000"
2010.0,MG,Não-Metálicos,Quartzo (Cristal) e outros Piezelétricos,-,"56,690000",",000000000000000",,"56,689999999999998",76155,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Bário,t,"5619362,000000","1049314,240000000000000",BaSO4,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Gemas e Diamantes,Gemas,kg,"808000,580000","490,516960000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Ouro,kg,"48182808,980000","31994,594910000000000",Au,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Nióbio,t,"5651210,000000","140486,916300000000000",Nb2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Enxofre,t,"382969,290000","13174,000000000000000",S,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Prata,kg,"46221073,000000","7199,754760000000000",Ag,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Dolomito e Magnesita,-,"341,800000",",000000000000000",,"391,10000000000002","9305,7900000000009",",000000",",000000",",000000",",000000"
2010.0,MG,Metálicos,Chumbo,t,"2299496,000000","24047,320000000000000",Pb,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Gemas e Diamantes,Diamante,ct,"227199,100000","10760,410000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Rochas Ornamentais,-,"614946,070000",",000000000000000",,"513329,63000000012","111858021,98999998",",000000",",000000","72653,160000","9005807,330000"
2010.0,MG,Não-Metálicos,Caulim,-,"20413,560000",",000000000000000",,"14890,560000000001","711970,09999999998",",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Talco e outras Cargas Minerais,-,"771879,370000",",000000000000000",,"76623,959999999992","2083653,3",",000000",",000000","48977,170000","2305589,610000"
2010.0,MG,Metálicos,Níquel,t,"440537,290000","13428,390000000000000",Ni,6000,60000,",000000",",000000",",000000",",000000"
2010.0,MG,Não-Metálicos,Rochas Ornamentais - Outras,-,"16216,300000",",000000000000000",,"15404,330000000002","2899293,5600000001",",000000",",000000","215,370000","62164,230000"
